Name,Country,Political Group,National Party,Committee Role,Role,Facebook,Twitter,Instagram,Profile URL
Mounir SATOURI,France,Group of the Greens/European Free Alliance,Les Écologistes (France),Chair,Member,https://www.facebook.com/mounir.satouri,https://twitter.com/mounirsatouri,Not found,https://www.europarl.europa.eu/meps/en/197500
Marta TEMIDO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Vice-Chair,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/210480
Łukasz KOHUT,Poland,Group of the European People's Party (Christian Democrats),Independent (Poland),Vice-Chair,Member,https://facebook.com/KohutLukaszMarcin/,https://twitter.com/lukaszkohut,Not found,https://www.europarl.europa.eu/meps/en/197523
Isabel SERRA SÁNCHEZ,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS (Spain),Vice-Chair,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257009
Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Vice-Chair,Member,https://www.facebook.com/arkadiusz.mularczyk/?locale=pl_PL,https://x.com/arekmularczyk?lang=en,Not found,https://www.europarl.europa.eu/meps/en/257060
Francisco ASSIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Member,Member,https://www.facebook.com/people/Francisco-Assis/61569298170270/,Not found,Not found,https://www.europarl.europa.eu/meps/en/28307
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,Liberalų sąjūdis (Lithuania),Member,Member of the Bureau,https://www.facebook.com/PetroAustreviciausbiuras,https://twitter.com/petras_petras,Not found,https://www.europarl.europa.eu/meps/en/124766
Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nowa Lewica (Poland),Member,Member,https://www.facebook.com/RobertBiedron/,https://twitter.com/robertbiedron,Not found,https://www.europarl.europa.eu/meps/en/197498
Ľuboš BLAHA,Slovakia,Non-attached Members,SMER-Sociálna demokracia (Slovakia),Member,Not found,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257005
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution (Greece),Member,Member of the Bureau,https://www.facebook.com/pages/category/Politician/Εμμανουήλ-Φράγκος-Φραγκούλης-Emmanouil-Fragkos-113822013362486/,https://twitter.com/e_fragkos?lang=en,Not found,https://www.europarl.europa.eu/meps/en/198490
Tomasz FROELICH,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Member,Member,https://www.facebook.com/TomaszFroelich,https://x.com/TomaszFroelich,Not found,https://www.europarl.europa.eu/meps/en/190574
Małgorzata GOSIEWSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Member,Member,Not found,Not found,Not found,https://www.europarl.europa.eu/meps/en/257055
Bernard GUETTA,France,Renew Europe Group,Sans parti (France),Member,Member,Not found,https://twitter.com/guetta_en,Not found,https://www.europarl.europa.eu/meps/en/197543
Rima HASSAN,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise (France),Member,Member,Not found,https://x.com/rimahas,Not found,https://www.europarl.europa.eu/meps/en/256912
Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal (Romania),Member,Member,https://www.facebook.com/mirceahava/,https://x.com/MirceaHava,Not found,https://www.europarl.europa.eu/meps/en/197646
Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania),Member,Member,https://www.facebook.com/rasa.jukneviciene,https://twitter.com/RJukneviciene,Not found,https://www.europarl.europa.eu/meps/en/197840
Ondřej KOLÁŘ,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 (Czechia),Member,Member,Not found,https://x.com/ondrejkolar6,Not found,https://www.europarl.europa.eu/meps/en/256846
András LÁSZLÓ,Hungary,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary),Member,Member,https://www.facebook.com/LaszloAndras.FIDESZ,https://x.com/laszloan,Not found,https://www.europarl.europa.eu/meps/en/256860
